tweet_id,author,text,user_id,profile_text,hashtags,label
"1,49071E+18",Snaketongue3,@ju_khatib Hätte man das 4650 Jahre lang in ETF investiert würden Musk und Bezos vermutlich in Tränen ausbrechen beim Blick auf ihr kümmerliches Vermögen.,"9,43241E+17","weiser alter Mann
für Gleichberechtigung
gegen Genderwahn
Single

Hinweis: Schwarz Rot Gold sind die Farben der Flagge Deutschlands, nicht die Farben der AfD!",,1
"1,49021E+18",PenPo13,"@MonaNeubaur Immer das gleiche Spiel, ihr sammelt paar Leute die ihr bezahlt um eure Kaste zu schützen.  Funktioniert nicht mehr, Ende im Gelände!","1,29968E+18","Heimat,  dresden und stolz darauf. 😇😇😇
Der wichtigsten Kampf, ist gegen sich selbst! Satire 😉 oder 🤔",,2
"1,50598E+18",maikefst,"@saftlos Bald sind Wahlen in NRW. Von mir aus können die Grünen in der Versenkung verschwinden.
Ich weiß wo ich mein Kreuz machen werde! 💙","1,27136E+18","Frau, keine Kinder, ungeimpft, tätowiert, Vegetarier, nicht im Krieg mit Russland 🇷🇺, wähle AfD 💙, spiele WoW, Metalhead, Team Remigration",,1
"1,49346E+18",BILD,Jules El-Khatib (30) - Ist der NRW-Linke-Chef ein Israel-Hasser? https://t.co/qDX99ziZBi,9204502,Hier bekommt ihr News aus Deutschland und der Welt · Impressum: https://t.co/cPmnsc8mDj – Datenschutz: https://t.co/OKYIp4rTNM,,1
"1,48934E+18",indiline65,"@ju_khatib Das Ist Klientel-Politik, warum? Weil du selber einen Namen aus diesem Kulturkreis trägst? Glaube, kaum einer würde sich an einem Kopftuch bei Frau Türeci stören oder hätte sie am forschen gehindert. Selbstgemachte Probleme. K-tuch kann man sich aussuchen echte Behinderung nicht.","1,24214E+18","The fuckiest station in the nation, humans found everytime ways saying the truth. Reden wir Klartext",,1
"1,49346E+18",tweecix,Das hat der #Union die Kanzlerschaft gekostet! - Warum hat die NRW-CDU nur solche Kandidaten liebe  @berlindirekt-Redaktion? https://t.co/EE1crHZEea,1602974364,sozialliberaler Patriot,"[{'indices': [12, 18], 'text': 'Union'}]",1
"1,49044E+18",Silvvversurfer,@ThomasKutschaty Ihr seid ein peinlicher Antifa Haufen,"1,10041E+18","Automotive Battery Expert & Engineer🔋 (Phd, Elektr.-Chem.) 🖤Science 🖤Cars 🖤Sport 🖤Racing 🖤Astronomie 🖤Technik ⚓Nerd ⚓Realist ⚓Libertär ⚓Konservativ",,1
"1,51213E+18",FranzPopp1,#AnneSpiegel treten Sie jetzt endlich zurück. Haben Sie noch etwas Anstand? #HeinenEsser macht es Ihnen vor. Solche #Gruene braucht niemand,449686114,"Freiheit ist ein hohes Gut, schützen wir sie, so gut es geht. Konservativ, bürgerlich, freiheitsliebend, Heimatverbunden, Selbstständig und Steuerzahler","[{'indices': [0, 12], 'text': 'AnneSpiegel'}, {'indices': [76, 88], 'text': 'HeinenEsser'}, {'indices': [116, 123], 'text': 'Gruene'}]",1
"1,50405E+18",Krmelinchen1,"@KuboVerlag @spd_fraktion_nw @gruenenrw @AlternativeNRW Ne, da musst du dich an die AFD wenden, die stellen solche Anfragen dauernd. Wird halt nur öffentlich unter den Tisch gekehrt. Beispiel:
https://t.co/TRcelKF1SN","1,08261E+18","Muttertier, Hausdrache, meist humorvoll, links-konservativ libertäres AfD Mitglied🤍💙🤍 Schubladen sind was für Anfänger😉",,1
"1,50221E+18",Sufi08612584,"@WDRaktuell @HendrikWuest Wenn die Maßnahmen anhand der aktuellen hohen Zahlen jetzt schon nichts bringen, warum dann weiterführen?! @HendrikWuest #Basisschutzmassnahmen","1,38264E+18","Konservativ, Liberal, Freiheitsliebend. Alle Posts, Retweets und Likes sind im Zweifel Satire.","[{'indices': [147, 169], 'text': 'Basisschutzmassnahmen'}]",1
"1,52368E+18",TheRepublicDe,Luftige Grüße gehen an @ThomasKutschaty. https://t.co/Vf3UsASrde,"1,09763E+18","Wir sind Deutschlands bürgerliche Kampagnen-Denkfabrik. Wir kämpfen für Freiheit, Sicherheit und Wohlstand. Unsere Mission ist ein bürgerliches Deutschland.",,1
