target_entity,counts_train,counts_test_1,counts_test_2,counts_test_3,counts_test_4,counts_test_5,counts_test_6,counts_test_7,counts_test_8
AfD,1261,123,138,102,115,157,149,197,192
Bündnis 90/Die Grünen,1456,193,209,136,135,176,239,218,295
CDU,1819,159,236,156,164,230,251,300,245
Die Linke,740,49,81,34,49,93,54,115,160
FDP,1922,222,290,83,124,181,209,232,244
SPD,1805,205,285,124,143,214,255,278,285
Carolin Butterwegge,21,1,1,1,0,2,3,2,10
Hendrik Wüst,1751,162,204,150,180,272,286,366,478
Joachim Stamp,871,166,224,17,64,48,52,118,116
Jules El-Khatib,1036,7,19,1,33,1,7,14,17
Markus Wagner,50,2,6,6,2,5,3,22,25
Mona Neubaur,420,128,147,31,10,52,45,83,66
Thomas Kutschaty,811,117,211,74,128,173,236,274,309
