hashtag,count
#noafd,98
#fckafd,53
#wirsindmehr,47
#afd,38
#fcknzs,34
#teamhabeck,24
#nrw,24
#standwithukraine,23
#weedmob,18
#cdu,17
#teamwissenschaft,16
#nonazis,15
#nafo,14
#bildungabersicher,13
#spd,13
#politik,13
#freiheit,13
#standwithisrael,12
#teamkinderschutz,11
#twlz,10
#habeck4kanzler,10
#nocovid,9
#covidisnotover,9
#kindertruppe,8
#teamrobert,8
#verkehrswende,8
#klimakrise,8
#effzeh,8
#bitcoin,8
#politics,8
#konservativ,7
#science,7
#energiewende,7
#bvb,7
#klimaschutz,7
#fcknazis,7
#entkriminalisierungsofort,7
#yestonocovid,6
#ltnrw,6
#noafdp,6
#longcovid,6
#niewiederistjetzt,6
#meinungsfreiheit,6
#slavaukraini,6
#wirtschaft,6
#nobsw,6
#fridaysforfuture,6
#heinerultras,5
#kinderrechte,5
#bge,5
