hashtag,count
#noafd,96
#fckafd,52
#wirsindmehr,46
#afd,38
#fcknzs,34
#standwithukraine,23
#teamhabeck,23
#nrw,22
#weedmob,18
#cdu,17
#teamwissenschaft,17
#nonazis,14
#nafo,14
#spd,13
#politik,13
#freiheit,13
#bildungabersicher,12
#standwithisrael,12
#twlz,10
#habeck4kanzler,10
#nocovid,9
#teamkinderschutz,9
#covidisnotover,9
#kindertruppe,8
#teamrobert,8
#verkehrswende,8
#klimakrise,8
#effzeh,8
#bitcoin,8
#politics,8
#konservativ,7
#science,7
#energiewende,7
#bvb,7
#klimaschutz,7
#fcknazis,7
#entkriminalisierungsofort,7
#ltnrw,6
#noafdp,6
#longcovid,6
#niewiederistjetzt,6
#meinungsfreiheit,6
#slavaukraini,6
#wirtschaft,6
#nobsw,6
#fridaysforfuture,6
#yestonocovid,5
#heinerultras,5
#kinderrechte,5
#grüne,5
